,X,Y,method,covar,alternative,n,r,CI95%,p-unc,marker,stage,system,ci_low,ci_high,p-fdr
48,ADRR,Waist circumference,pearson,"['age', 'gender']",two-sided,653,0.04829933840998479,[-0.03  0.12],0.21843763420075168,^,Wake,Anthropometry and body composition,-0.03,0.12,0.47408215851326674
49,ADRR,Sitting BP diastolic,pearson,"['age', 'gender']",two-sided,653,-0.014603962990973673,[-0.09  0.06],0.7099527922324511,^,Wake,Vascular,-0.09,0.06,0.8762218636284094
50,ADRR,Sitting BP systolic,pearson,"['age', 'gender']",two-sided,653,-0.054267606871291195,[-0.13  0.02],0.16667099263196708,^,Wake,Vascular,-0.13,0.02,0.3980159032143939
51,ADRR,BMI,pearson,"['age', 'gender']",two-sided,653,0.01851342415455395,[-0.06  0.1 ],0.6372857874513547,^,Wake,Anthropometry and body composition,-0.06,0.1,0.8383494434012695
52,ADRR,HDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,250,-0.02172751016326119,[-0.15  0.1 ],0.7334975388939871,^,Wake,Lipids,-0.15,0.1,0.8855481853017264
53,ADRR,WBC (BT),pearson,"['age', 'gender']",two-sided,296,-0.06256077012456765,[-0.18  0.05],0.2849923220028093,^,Wake,Inflammatory markers,-0.18,0.05,0.5552709257631495
54,ADRR,GGT (BT),pearson,"['age', 'gender']",two-sided,95,-0.048093250293387305,[-0.25  0.16],0.64710556938458,^,Wake,Liver,-0.25,0.16,0.8411292150355927
55,ADRR,CRP (BT),pearson,"['age', 'gender']",two-sided,90,-0.08366049762393171,[-0.29  0.13],0.4383729854482189,^,Wake,Inflammatory markers,-0.29,0.13,0.7007693680958779
56,ADRR,AST\GOT (BT),pearson,"['age', 'gender']",two-sided,220,0.005453776492241455,[-0.13  0.14],0.9361881867569566,^,Wake,Liver,-0.13,0.14,0.97435696923823
57,ADRR,HbA1C (BT),pearson,"['age', 'gender']",two-sided,166,0.011739700052498267,[-0.14  0.16],0.8813984076516443,^,Wake,HbA1C,-0.14,0.16,0.955508399587203
58,ADRR,Total cholesterol (BT),pearson,"['age', 'gender']",two-sided,257,-0.12369634391167049,[-0.24 -0.  ],0.04847827739201167,^,Wake,Lipids,-0.24,-0.0,0.16739191455714972
59,ADRR,Triglycerides (BT),pearson,"['age', 'gender']",two-sided,259,-0.06252862072624389,[-0.18  0.06],0.3180364865677551,^,Wake,Lipids,-0.18,0.06,0.5876839659128192
60,ADRR,LDL cholesterol (BT),pearson,"['age', 'gender']",two-sided,132,-0.14216109922493544,[-0.31  0.03],0.10664966074503203,^,Wake,Lipids,-0.31,0.03,0.29580703041596007
61,ADRR,ALT\GPT (BT),pearson,"['age', 'gender']",two-sided,257,0.03939923620398295,[-0.08  0.16],0.5311132577217055,^,Wake,Liver,-0.08,0.16,0.7624803825348435
62,ADRR,eGFR (BT),pearson,"['age', 'gender']",two-sided,288,-0.010196436570499194,[-0.13  0.11],0.8636838641452057,^,Wake,Vascular,-0.13,0.11,0.9467035570638482
63,ADRR,Total Sleep Time (SM),pearson,"['age', 'gender']",two-sided,653,0.010410188520525951,[-0.07  0.09],0.7909250495269818,^,Wake,Sleep,-0.07,0.09,0.9175339108425855
64,ADRR,AHI (SM),pearson,"['age', 'gender']",two-sided,645,0.01754378252541846,[-0.06  0.09],0.657017951706178,^,Wake,Sleep,-0.06,0.09,0.8455773033446025
65,ADRR,Total Wake Time (SM),pearson,"['age', 'gender']",two-sided,653,-0.021566699240037294,[-0.1   0.06],0.5828172444431703,^,Wake,Sleep,-0.1,0.06,0.7990735041266805
66,ADRR,ODI (SM),pearson,"['age', 'gender']",two-sided,641,-0.018884186968336332,[-0.1   0.06],0.6337390040871049,^,Wake,Sleep,-0.1,0.06,0.8351697146243847
67,ADRR,Mean Oxygen Saturation (SM),pearson,"['age', 'gender']",two-sided,646,0.05970422097234658,[-0.02  0.14],0.13014504607637767,^,Wake,Sleep,-0.02,0.14,0.33784185083815305
68,ADRR,RDI (SM),pearson,"['age', 'gender']",two-sided,645,0.03993404626206822,[-0.04  0.12],0.31198848898825593,^,Wake,Sleep,-0.04,0.12,0.5829512971525829
