Value,Gender,Age group,3,10,50,90,97
ADRR,2,[40-50),0.845119677,3.229333988,10.69366501,18.15798209,20.54219627
ADRR,2,[50-60),0.716085456,3.100336008,10.56448655,18.0287542,20.41292469
ADRR,2,[60-70],0.773451574,3.157749899,10.62245145,18.08715567,20.47146569
ADRR,0,[40-50),1.400257547,3.760905446,11.14984035,18.53872557,20.8994407
ADRR,0,[50-60),1.004290862,3.366083939,10.75839974,18.15071554,20.51250862
ADRR,0,[60-70],0.958046475,3.318671056,10.70732951,18.09598797,20.45661255
ADRR,1,[40-50),0.254502923,2.66612133,10.213875,17.76167493,20.17357833
ADRR,1,[50-60),0.338536859,2.749864922,10.29646371,17.84306251,20.25439057
ADRR,1,[60-70],0.597985179,3.008933325,10.55434311,18.0997529,20.51070105
COGI,2,[40-50),0.505382533,0.592008625,0.863217228,1.134420111,1.221046199
COGI,2,[50-60),0.520184684,0.606808215,0.878001615,1.149195142,1.235818558
COGI,2,[60-70],0.544610382,0.631244437,0.902472263,1.17370009,1.260334145
COGI,0,[40-50),0.486080356,0.57340128,0.846716462,1.120031941,1.207356106
COGI,0,[50-60),0.509895864,0.597262441,0.870716256,1.144170071,1.231536648
COGI,0,[60-70],0.543774865,0.631098218,0.904416741,1.177735265,1.265058617
COGI,1,[40-50),0.528085454,0.613844554,0.882283774,1.150722702,1.236481702
COGI,1,[50-60),0.534215326,0.619994513,0.888452845,1.156911177,1.242690364
COGI,1,[60-70],0.545455783,0.631232378,0.899682599,1.16813282,1.253909415
cv,2,[40-50),7.449092771,9.342337987,15.26951462,21.19657729,23.089805
cv,2,[50-60),7.827121238,9.720129274,15.64662613,21.57312298,23.46613102
cv,2,[60-70],8.498291895,10.39153814,16.31878076,22.24602338,24.13926963
cv,0,[40-50),7.803462674,9.671078694,15.5166405,21.36220231,23.22981833
cv,0,[50-60),7.975313462,9.843134629,15.68943413,21.53579558,23.40362816
cv,0,[60-70],8.510396722,10.37794164,16.22328091,22.06862017,23.93616509
cv,1,[40-50),7.057654717,8.985562754,15.01922888,21.05289501,22.98080305
cv,1,[50-60),7.519876571,9.447935474,15.48207376,21.51621205,23.44427095
cv,1,[60-70],8.452235055,10.37999018,16.41317776,22.44636534,24.37412047
eA1C,2,[40-50),4.016875705,4.218580962,4.85007751,5.481579104,5.68328435
eA1C,2,[50-60),4.087273813,4.288971052,4.920430629,5.551895301,5.753594408
eA1C,2,[60-70],4.154394471,4.356118075,4.987660195,5.619202315,5.82092592
eA1C,0,[40-50),4.011169639,4.202392652,4.800889692,5.399388202,5.590608188
eA1C,0,[50-60),4.096435369,4.287739353,4.886513004,5.485286656,5.67659064
eA1C,0,[60-70],4.172445425,4.363654762,4.96213217,5.560609579,5.751818915
eA1C,1,[40-50),4.024747485,4.237085858,4.90153854,5.566015138,5.778341799
eA1C,1,[50-60),4.079126133,4.291495256,4.956135041,5.620774826,5.833143949
eA1C,1,[60-70],4.151095614,4.363431277,5.027966345,5.692501413,5.904837076
GMI,2,[40-50),4.950537239,5.089008705,5.522533611,5.956061981,6.094533439
GMI,2,[50-60),4.998865822,5.137331783,5.570831309,6.004334332,6.142801576
GMI,2,[60-70],5.044944422,5.183428484,5.616984675,6.050540867,6.189024928
GMI,0,[40-50),4.946620002,5.077895365,5.488765977,5.899637598,6.030910883
GMI,0,[50-60),5.005155266,5.136486217,5.547546723,5.95860723,6.089938181
GMI,0,[60-70],5.057336474,5.188602449,5.599459583,6.010316718,6.141582693
GMI,1,[40-50),4.955941247,5.10171239,5.557861814,6.014027656,6.159790759
GMI,1,[50-60),4.993272407,5.139064659,5.59534253,6.051620401,6.197412653
GMI,1,[60-70],5.042679744,5.188449026,5.644655008,6.10086099,6.246630272
GRADE,2,[40-50),-0.777912048,-0.307833089,1.163896664,2.635623458,3.105716985
GRADE,2,[50-60),-0.755798968,-0.285749104,1.185871605,2.657492488,3.127542355
GRADE,2,[60-70],-0.703479403,-0.233366848,1.238428584,2.710224016,3.180336571
GRADE,0,[40-50),-0.540550084,-0.131674964,1.148087451,2.427849866,2.836724987
GRADE,0,[50-60),-0.540172386,-0.131116493,1.149208378,2.429534802,2.83859014
GRADE,0,[60-70],-0.535818275,-0.126958721,1.152754973,2.432468667,2.841328221
GRADE,1,[40-50),-1.026094097,-0.493134973,1.17483744,2.842809852,3.375768976
GRADE,1,[50-60),-0.96625374,-0.433252909,1.234850029,2.902952967,3.435953798
GRADE,1,[60-70],-0.852221055,-0.319304201,1.348535919,3.016376039,3.549292893
GRADE_eugly,2,[40-50),22.26325715,33.72493305,69.60818818,105.4915327,116.9531192
GRADE_eugly,2,[50-60),22.24129179,33.7023684,69.58375718,105.4651117,116.9261306
GRADE_eugly,2,[60-70],22.56426184,34.02682935,69.91190732,105.7970435,117.2595321
GRADE_eugly,0,[40-50),21.18578766,32.48021362,67.83121955,103.1820599,114.4763378
GRADE_eugly,0,[50-60),22.29707249,33.59628536,68.96235985,104.3284343,115.6276472
GRADE_eugly,0,[60-70],23.73794671,35.03156931,70.38014645,105.7287236,117.0223462
GRADE_eugly,1,[40-50),23.22846165,34.90429227,71.44524959,107.987378,119.6627308
