Value,Gender,Age group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ADRR,2,[40-50),-0.997106726,0.136341412,0.846156012,1.374632025,1.800626454,2.16022048,2.473071026,2.751131386,3.002235564,3.231792919,3.443707475,3.640897697,3.825606036,3.999590517,4.164256959,4.320743545,4.469998454,4.612808355,4.74983699,4.881654101,5.008741161,5.131518716,5.250353573,5.365567668,5.477445277,5.58623755,5.692167474,5.795438864,5.89623279,5.994712752,6.091026926,6.18531005,6.277685041,6.368264865,6.457150775,6.544439168,6.63022188,6.714575745,6.797575555,6.879290975,6.959786831,7.039123565,7.117357638,7.194541402,7.270724375,7.345953575,7.420272742,7.493723077,7.56634345,10.7005646,13.8347952,13.90741385,13.98086243,14.05517983,14.13040723,14.20658871,14.28377297,14.36200705,14.4413438,14.52183967,14.60355514,14.68655519,14.77090929,14.85669248,14.9439857,15.03287653,15.12345874,15.21583641,15.31012054,15.40643396,15.50491315,15.60570628,15.70897686,15.81490595,15.92369829,16.03557589,16.15079026,16.26962546,16.39240337,16.51948952,16.65130295,16.78833226,16.93114285,17.08039849,17.23688783,17.40155462,17.57553469,17.76023857,17.95742958,18.16934512,18.39890247,18.65000889,18.9280811,19.24093786,19.60052316,20.02651141,20.554971,21.26480718,22.39825239
ADRR,2,[50-60),-1.129505255,0.003844395,0.713624695,1.242059419,1.66801919,2.027588543,2.34043648,2.618496636,2.869591103,3.099134876,3.311037883,3.508219542,3.69291986,3.866896785,4.031556441,4.18804197,4.33729587,4.48010154,4.617124059,4.748938584,4.876023252,4.998798497,5.117628958,5.232838321,5.344711076,5.453499279,5.559427679,5.662697584,5.76349006,5.861968606,5.958281394,6.052563162,6.144936824,6.235514845,6.324400417,6.411688477,6.497466588,6.581815705,6.664810844,6.746521572,6.827009851,6.906341279,6.984571545,7.061752037,7.137932283,7.21315879,7.287475296,7.360923003,7.433540734,10.56761859,13.70173155,13.77434602,13.84779039,13.92210352,13.99732661,14.07350339,14.15068038,14.22890709,14.30823636,14.38872464,14.47043238,14.55342438,14.63777031,14.72354517,14.81082993,14.89971215,14.99028674,15.08265786,15.17693962,15.2732524,15.37173094,15.47252341,15.57579331,15.68172171,15.7905099,15.90238265,16.01759201,16.13642205,16.25919463,16.38627653,16.51808898,16.65511775,16.79792779,16.94718284,17.10366959,17.26833052,17.44230234,17.62700134,17.82418299,18.03608598,18.26562197,18.51670503,18.79475257,19.10758772,19.46715437,19.89311638,20.42157467,21.13139655,22.26478944
ADRR,2,[60-70],-1.059791282,0.073703547,0.783572713,1.312072344,1.73808581,2.097700489,2.410577426,2.688662096,2.9397787,3.169342708,3.381264396,3.578463438,3.76318004,3.937172303,4.101846475,4.258345799,4.407612857,4.550434383,4.687474172,4.819297694,4.946390811,5.069174218,5.188014739,5.303234259,5.415116876,5.52391467,5.629852409,5.733131418,5.83393278,5.932420008,6.028741286,6.123031366,6.215413172,6.305999178,6.394892586,6.482188341,6.567974014,6.652330567,6.735333023,6.817051047,6.897549468,6.976888731,7.055125297,7.132312005,7.208498386,7.28373095,7.358053441,7.431507062,7.504130684,10.63854385,13.77295702,13.84558064,13.91903426,13.99335675,14.06858932,14.1447757,14.2219624,14.30019897,14.37953823,14.46003665,14.54175468,14.62475713,14.70911369,14.79489936,14.88219512,14.97108852,15.06167453,15.15405634,15.24834642,15.34466769,15.44315492,15.54395628,15.64723529,15.75317303,15.86197083,15.97385344,16.08907296,16.20791348,16.33069689,16.45779001,16.58961353,16.72665332,16.86947484,17.0187419,17.17524123,17.3399154,17.51390766,17.69862426,17.89582331,18.10774499,18.337309,18.58842561,18.86651028,19.17938721,19.53900189,19.96501536,20.49351499,21.20338415,22.33687898
ADRR,0,[40-50),-0.408778449,0.712860586,1.415244905,1.938144265,2.359627165,2.715388726,3.024902949,3.299993044,3.548400954,3.775485107,3.985118726,4.18019388,4.362918899,4.53503337,4.697928713,4.852736107,5.000388176,5.141663337,5.277218361,5.407612731,5.533327159,5.654777881,5.772327827,5.886295467,5.996961879,6.104576464,6.209361599,6.311516468,6.411220226,6.508634644,6.603906328,6.697168591,6.788543049,6.878140975,6.966064468,7.052407462,7.13725659,7.220691951,7.302787763,7.38361295,7.463231645,7.541703646,7.61908481,7.695427411,7.770780449,7.845189936,7.918699147,7.991348843,8.063177478,11.16318827,14.26319907,14.3350277,14.4076774,14.48118661,14.5555961,14.63094913,14.70729173,14.7846729,14.8631449,14.94276359,15.02358878,15.10568459,15.18911995,15.27396908,15.36031208,15.44823557,15.5378335,15.62920795,15.72247022,15.8177419,15.91515632,16.01486008,16.11701495,16.22179632,16.32940456,16.44006445,16.55402537,16.67156838,16.79301195,16.91871896,17.04910565,17.18465268,17.32591951,17.47356287,17.62836898,17.79126445,17.96337905,18.14610421,18.34117952,18.55082161,18.77791949,19.02634242,19.30144914,19.61098207,19.96676208,20.38824563,20.91114579,21.61353119,22.73517195
ADRR,0,[50-60),-0.839713154,0.282454628,0.985170053,1.50831591,1.9299975,2.285944675,2.595623048,2.870859037,3.119398689,3.346603277,3.556343872,3.751510837,3.934321855,4.106517329,4.269489338,4.424369591,4.572091151,4.713432802,4.849051624,4.979507363,5.105280958,5.226788839,5.344394109,5.458415387,5.569133884,5.676799116,5.781633568,5.883836515,5.983587197,6.081047463,6.176363985,6.269670142,6.361087605,6.450727699,6.538692573,6.625076203,6.709965265,6.793439894,6.875574344,6.95643757,7.036093737,7.11460267,7.192020254,7.268398784,7.343787287,7.418231794,7.491775601,7.56445949,7.63632193,10.73779172,13.83926151,13.91112395,13.98380784,14.05735164,14.13179615,14.20718465,14.28356319,14.36098077,14.4394897,14.51914587,14.60000909,14.68214354,14.76561817,14.85050724,14.93689087,15.02485574,15.11449583,15.2059133,15.29921945,15.39453598,15.49199624,15.59174692,15.69394987,15.79878432,15.90644956,16.01716805,16.13118933,16.2487946,16.37030248,16.49607608,16.62653182,16.76215064,16.90349229,17.05121385,17.2060941,17.36906611,17.54126158,17.7240726,17.91923957,18.12898016,18.35618475,18.6047244,18.87996039,19.18963876,19.54558594,19.96726753,20.49041339,21.19312881,22.31529659
ADRR,0,[60-70],-0.860363378,0.261249551,0.963617521,1.48650471,1.907977801,2.263748978,2.573274232,2.848374132,3.096790894,3.323883141,3.533520031,3.728590496,3.911311123,4.083421456,4.246312884,4.401116556,4.548765076,4.690036841,4.825588606,4.955979842,5.081691248,5.203139051,5.320686172,5.434651072,5.545314824,5.652926821,5.757709438,5.859861851,5.959563212,6.056975289,6.152244682,6.245504704,6.336876966,6.426472738,6.514394118,6.600735036,6.685582125,6.76901548,6.851109319,6.931932562,7.011549343,7.090019458,7.167398762,7.243739528,7.319090755,7.393498453,7.467005897,7.539653847,7.611480755,10.71141703,13.81135331,13.88318022,13.95582817,14.02933561,14.10374331,14.17909454,14.2554353,14.33281461,14.41128472,14.4909015,14.57172474,14.65381858,14.73725194,14.82209903,14.90843995,14.99636133,15.0859571,15.17732936,15.27058938,15.36585877,15.46327085,15.56297221,15.66512463,15.76990724,15.87751924,15.98818299,16.10214789,16.21969501,16.34114282,16.46685422,16.59724546,16.73279722,16.87406899,17.02171751,17.17652118,17.33941261,17.51152294,17.69424357,17.88931403,18.09895092,18.32604317,18.57445993,18.84955983,19.15908509,19.51485626,19.93632935,20.45921654,21.16158451,22.28319744
ADRR,1,[40-50),-1.598145089,-0.45208006,0.265462507,0.79960449,1.230142713,1.593561395,1.909736859,2.190744917,2.444548613,2.676564648,2.890745612,3.090043366,3.276722763,3.452561222,3.618980414,3.777136107,3.927960861,4.07225983,4.210715814,4.343900326,4.472304415,4.596353263,4.716417603,4.832822749,4.94585582,5.055771574,5.162797168,5.267136064,5.368971264,5.468468016,5.565776073,5.661031612,5.754358858,5.845871474,5.935673753,6.023861642,6.110523637,6.195741553,6.279595064,6.362164571,6.443501461,6.523666826,6.602717734,6.680707592,6.757686462,6.833701353,6.908796477,6.98301348,7.056391647,10.22275092,13.38928952,13.46265214,13.53685342,13.61193263,13.68793141,13.76489397,13.8428673,13.92190146,14.00204983,14.08336949,14.1659215,14.24977137,14.33498952,14.42165366,14.50986064,14.59968235,14.69121478,14.78456222,14.87983838,14.9771675,15.07668578,15.17854302,15.2829045,15.38995326,15.49989281,15.61295034,15.72938068,15.84947101,15.9735467,16.10197858,16.2351721,16.37362865,16.5179282,16.66874166,16.8268642,16.9932485,17.1690501,17.35569036,17.55494633,17.76908239,18.00104978,18.25480114,18.53581862,18.85206321,19.21556136,19.64619372,20.18045249,20.89797521,22.04380258
ADRR,1,[50-60),-1.507935848,-0.362191103,0.35526352,0.889370594,1.319880679,1.683275609,1.999430409,2.280420102,2.534153494,2.766104465,2.980225367,3.179467232,3.36609428,3.541883429,3.708255953,3.866367295,4.017170081,4.161459419,4.299906162,4.433081786,4.561477304,4.685517874,4.805574201,4.921971578,5.034997105,5.144905523,5.251923974,5.356255906,5.45808431,5.557574421,5.654875984,5.750125165,5.843446183,5.934952691,6.024748977,6.11293098,6.199587191,6.28479942,6.368643474,6.45118975,6.532503755,6.612646565,6.691675232,6.769643147,6.846600358,6.922593862,6.997667858,7.071863979,7.145221501,10.31117875,13.477136,13.55049352,13.62468964,13.69976364,13.77575714,13.85271436,13.93068227,14.00971094,14.08985375,14.17116775,14.25371403,14.33755808,14.42277031,14.50942652,14.59760853,14.68740481,14.77891132,14.87223234,14.96748152,15.06478308,15.16427319,15.2661016,15.37043353,15.47745198,15.5873604,15.70038592,15.8167833,15.93683963,16.0608802,16.18927572,16.32245134,16.46089808,16.60518742,16.75599021,16.91410155,17.08047407,17.25626322,17.44289027,17.64213214,17.85625304,18.08820401,18.3419374,18.62292709,18.93908189,19.30247682,19.73298691,20.26709398,20.98454861,22.13029335
ADRR,1,[60-70],-1.26781414,-0.12225147,0.595089141,1.129111338,1.559553009,1.922890191,2.23899475,2.51993979,2.77363286,3.005546971,3.219633847,3.41884405,3.60544144,3.781202654,3.947548739,4.105634955,4.256413776,4.400680185,4.539104927,4.672259387,4.800634502,4.92465536,5.044692608,5.161071488,5.274079054,5.383970006,5.490971451,5.595286803,5.697099025,5.796573326,5.893859426,5.989093471,6.082399659,6.173891626,6.263673641,6.351841631,6.438484071,6.523682759,6.607513489,6.690046648,6.771347731,6.851477805,6.930493914,7.008449438,7.08539442,7.161375847,7.236437913,7.310622243,7.383968108,10.54942225,13.71487638,13.78822225,13.86240658,13.93746864,14.01345007,14.09039505,14.16835058,14.24736669,14.32749676,14.40879784,14.491331,14.57516173,14.66036042,14.74700286,14.83517085,14.92495287,15.01644483,15.10975102,15.20498507,15.30227117,15.40174547,15.50355769,15.60787304,15.71487449,15.82476544,15.937773,16.05415188,16.17418913,16.29820999,16.4265851,16.55973956,16.69816431,16.84243072,16.99320954,17.15129575,17.31764184,17.49340305,17.68000044,17.87921064,18.09329752,18.32521163,18.5789047,18.85984974,19.1759543,19.53929148,19.96973315,20.50375535,21.22109596,22.36665863
COGI,2,[40-50),0.436812584,0.477992486,0.50378232,0.522982925,0.538460166,0.551525113,0.562892059,0.572994893,0.582117881,0.590457869,0.598156918,0.605321097,0.612031793,0.618352913,0.624335593,0.630021277,0.635444209,0.640632973,0.645611685,0.650400887,0.655018231,0.659479002,0.663796526,0.667982498,0.672047239,0.675999907,0.679848668,0.683600837,0.687262991,0.690841072,0.694340463,0.69776606,0.701122328,0.704413355,0.707642888,0.710814379,0.713931007,0.716995715,0.720011228,0.722980077,0.725904617,0.728787045,0.731629411,0.734433635,0.737201517,0.739934747,0.742634913,0.745303513,0.747941959,0.861815476,0.975689982,0.978328428,0.980997028,0.983697194,0.986430424,0.989198306,0.992002531,0.994844897,0.997727325,1.000651865,1.003620714,1.006636227,1.009700935,1.012817564,1.015989054,1.019218588,1.022509614,1.025865883,1.02929148,1.032790871,1.036368952,1.040031107,1.043783275,1.047632036,1.051584704,1.055649445,1.059835351,1.064152798,1.068613488,1.07323075,1.078019866,1.082998487,1.088187158,1.093609993,1.099295575,1.105278146,1.111599283,1.118310112,1.125474433,1.133173634,1.141513788,1.150636956,1.160739885,1.172106831,1.185171778,1.20064902,1.219849318,1.245638661,1.28681878
